Competency Score Key,Student Key,Assessment Key,Session,Type,Number,Category Group,Category,Points Earned,Percent Earned,Source CSV
2026-01-Q3-STU-9E5CD42D978A-a5dea4da9a,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Health Promotion and Maintenance (HPM),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-2e9a6b7b34,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Management of Care (MC),0,0,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-fd2eee6480,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Pharmacological and Parenteral Therapies (PPT),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-8ea1ba17ba,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Psychosocial Integrity (PI),10.355,0.7053814714000001,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-14e35da63a,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Safety and Infection Control (SIC),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-7208e2b7c0,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Analysis.Diagnosis,6.335,0.9497751124,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-4ad703a50f,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Assessment,1.34,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-6811969a2e,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Evaluation,2.66,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-e2d31dab35,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Implementation.Intervention,1.33,0.33333333330000003,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-f7b99bcf79,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Planning,2.68,0.5018726592,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-433d9b66e4,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Evidence Based Practice,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-86b92c4914,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Patient-Centered Care,10.345,0.6465625,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-ac025be99a,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Safety,2.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-23e6c98fa2,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Question Types,PreL Multiple Choice (Traditional and Extended),12,0.6928406467000001,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-71b6520e61,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Question Types,PreL Select All That Apply (Traditional and NGN),2.345,0.875,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-1d217b9580,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Chronic Disease Management,2.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-97a2814085,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Regenerative.Restorative Care,5.35,0.8008982036000001,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-9E5CD42D978A-12d567c99d,STU-9E5CD42D978A,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Wellness.Disease Prevention,4.995,0.535944206,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-30d08387a1,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 2: Person-Centered Care,14.223333,0.8889583125,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-752e13a295,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 3: Population Health,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-aa1f00c8f5,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 5: Quality and Safety,1.33,0.4981273408,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-79f67744c7,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Bloom's Taxonomy,PreL Apply.Analyze,12.893333,0.8053299813,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-95ed4e1cad,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Bloom's Taxonomy,PreL Remember.Understand,3.99,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-706bcc97b7,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Clinical Judgment,1.34,0.5,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-c8b3df7ba6,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Communication,2.66,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-cf65b8e5f6,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Mood and Affect,11.553333,0.8667166542,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-540361d411,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Patient Education,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-7797f72e1a,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR293 Pharmacology,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-3ad81f9a19,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR326 Mental Health Nursing,16.883333,0.8441666499999999,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-2d5629bbf9,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR441.442.444 Community Health Nursing,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-eafd8c36cc,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR446 Collaborative Healthcare,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-a5dea4da9a,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Health Promotion and Maintenance (HPM),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-2e9a6b7b34,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Management of Care (MC),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-fd2eee6480,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Pharmacological and Parenteral Therapies (PPT),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-8ea1ba17ba,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Psychosocial Integrity (PI),11.563333,0.7876929837,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-14e35da63a,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Safety and Infection Control (SIC),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-7208e2b7c0,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Analysis.Diagnosis,6.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-4ad703a50f,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Assessment,0.893333,0.6666664179,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-6811969a2e,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Evaluation,2.66,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-e2d31dab35,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Implementation.Intervention,3.99,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-f7b99bcf79,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Planning,2.67,0.5,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-433d9b66e4,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Evidence Based Practice,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-86b92c4914,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Patient-Centered Care,14.223333,0.8889583125,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-ac025be99a,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Safety,1.33,0.4981273408,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-23e6c98fa2,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Question Types,PreL Multiple Choice (Traditional and Extended),14.65,0.8458429560999999,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-71b6520e61,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Question Types,PreL Select All That Apply (Traditional and NGN),2.233333,0.8333332090000001,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-1d217b9580,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Chronic Disease Management,1.33,0.4981273408,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-97a2814085,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Regenerative.Restorative Care,6.233333,0.9331336826000001,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-A2BC11F2136F-12d567c99d,STU-A2BC11F2136F,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Wellness.Disease Prevention,7.99,0.8572961373,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-30d08387a1,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 2: Person-Centered Care,13.005,0.8128125,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-752e13a295,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 3: Population Health,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-aa1f00c8f5,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 5: Quality and Safety,2.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-79f67744c7,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Bloom's Taxonomy,PreL Apply.Analyze,13.015,0.8129294190999999,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-95ed4e1cad,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Bloom's Taxonomy,PreL Remember.Understand,3.99,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-706bcc97b7,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Clinical Judgment,2.68,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-c8b3df7ba6,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Communication,2.66,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-cf65b8e5f6,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Mood and Affect,10.335,0.7753188297,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-540361d411,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Patient Education,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-7797f72e1a,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR293 Pharmacology,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-3ad81f9a19,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR326 Mental Health Nursing,17.005,0.8502500000000001,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-2d5629bbf9,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR441.442.444 Community Health Nursing,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-eafd8c36cc,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR446 Collaborative Healthcare,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-a5dea4da9a,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Health Promotion and Maintenance (HPM),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-2e9a6b7b34,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Management of Care (MC),0,0,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-fd2eee6480,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Pharmacological and Parenteral Therapies (PPT),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-8ea1ba17ba,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Psychosocial Integrity (PI),13.015,0.8865803815,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-14e35da63a,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Safety and Infection Control (SIC),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-7208e2b7c0,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Analysis.Diagnosis,6.335,0.9497751124,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-4ad703a50f,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Assessment,1.34,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-6811969a2e,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Evaluation,2.66,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-e2d31dab35,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Implementation.Intervention,1.33,0.33333333330000003,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-f7b99bcf79,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Planning,5.34,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-433d9b66e4,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Evidence Based Practice,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-86b92c4914,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Patient-Centered Care,13.005,0.8128125,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-ac025be99a,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Safety,2.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-23e6c98fa2,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Question Types,PreL Multiple Choice (Traditional and Extended),14.66,0.8464203233,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-71b6520e61,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Question Types,PreL Select All That Apply (Traditional and NGN),2.345,0.875,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-1d217b9580,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Chronic Disease Management,2.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-97a2814085,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Regenerative.Restorative Care,5.35,0.8008982036000001,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-C15A908DE5D5-12d567c99d,STU-C15A908DE5D5,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Wellness.Disease Prevention,7.655,0.8213519313000001,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-30d08387a1,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 2: Person-Centered Care,15.106667,0.9441666875,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-752e13a295,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 3: Population Health,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-aa1f00c8f5,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 5: Quality and Safety,2.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-79f67744c7,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Bloom's Taxonomy,PreL Apply.Analyze,15.116667,0.9442015615,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-95ed4e1cad,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Bloom's Taxonomy,PreL Remember.Understand,3.99,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-706bcc97b7,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Clinical Judgment,2.68,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-c8b3df7ba6,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Communication,2.66,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-cf65b8e5f6,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Mood and Affect,12.436667,0.9329832708000001,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-540361d411,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Patient Education,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-7797f72e1a,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR293 Pharmacology,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-3ad81f9a19,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR326 Mental Health Nursing,19.106667,0.95533335,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-2d5629bbf9,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR441.442.444 Community Health Nursing,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-eafd8c36cc,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Courses,NR446 Collaborative Healthcare,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-a5dea4da9a,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Health Promotion and Maintenance (HPM),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-2e9a6b7b34,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Management of Care (MC),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-fd2eee6480,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Pharmacological and Parenteral Therapies (PPT),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-8ea1ba17ba,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Psychosocial Integrity (PI),13.786667,0.9391462534,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-14e35da63a,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL NCLEX Client Needs Category,PreL Safety and Infection Control (SIC),1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-7208e2b7c0,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Analysis.Diagnosis,6.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-4ad703a50f,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Assessment,0.446667,0.3333335821,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-6811969a2e,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Evaluation,2.66,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-e2d31dab35,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Implementation.Intervention,3.99,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-f7b99bcf79,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Nursing Process,PreL Planning,5.34,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-433d9b66e4,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Evidence Based Practice,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-86b92c4914,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Patient-Centered Care,15.106667,0.9441666875,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-ac025be99a,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL QSEN,PreL QSEN Safety,2.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-23e6c98fa2,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Question Types,PreL Multiple Choice (Traditional and Extended),17.32,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-71b6520e61,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Question Types,PreL Select All That Apply (Traditional and NGN),1.786667,0.6666667909999999,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-1d217b9580,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Chronic Disease Management,2.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-97a2814085,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Regenerative.Restorative Care,5.786667,0.866267515,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-E2559618B841-12d567c99d,STU-E2559618B841,2026-01-Q3,Jan 2026,Quiz,3,PreL Spheres of Care,PreL Wellness.Disease Prevention,9.32,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-F01B19C38F0A-30d08387a1,STU-F01B19C38F0A,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 2: Person-Centered Care,11.218333,0.7011458125,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-F01B19C38F0A-752e13a295,STU-F01B19C38F0A,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 3: Population Health,1.33,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-F01B19C38F0A-aa1f00c8f5,STU-F01B19C38F0A,2026-01-Q3,Jan 2026,Quiz,3,PreL BSN Essentials,PreL Domain 5: Quality and Safety,2.67,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-F01B19C38F0A-79f67744c7,STU-F01B19C38F0A,2026-01-Q3,Jan 2026,Quiz,3,PreL Bloom's Taxonomy,PreL Apply.Analyze,11.228333,0.7013324797,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-F01B19C38F0A-95ed4e1cad,STU-F01B19C38F0A,2026-01-Q3,Jan 2026,Quiz,3,PreL Bloom's Taxonomy,PreL Remember.Understand,3.99,1,N326_Blenis_Quiz3_ATL.csv
2026-01-Q3-STU-F01B19C38F0A-706bcc97b7,STU-F01B19C38F0A,2026-01-Q3,Jan 2026,Quiz,3,PreL Concepts,PreL Clinical Judgment,2.68,1,N326_Blenis_Quiz3_ATL.csv
